pdf_name,total_time,confidence_per_page,average_confidence
Dragevænget-42.pdf,56.38,"89.88,82.06,83.73",85.22
Gakkede-Gade-3.pdf,56.24,"91.64,90.16,81.43",87.75
Hikkehøj-6C.pdf,110.72,"85.06,88.22,80.87,82.47,88.27,86.00",85.15
Kluddermors-Passage-18.pdf,88.80,"91.75,85.00,90.09,91.31,0.00",71.63
Krøllebakken-99.pdf,146.14,"82.46,89.37,81.54,83.08,84.85,84.94,85.99",84.60
Nullermandsvej-1.pdf,85.17,"82.34,88.69,87.36,78.66",84.26
Skyggehus-Allé-13.pdf,63.24,"88.44,84.80,87.63",86.96
Sneglevej-0B.pdf,42.27,"89.60,84.71",87.16
Tordenkiksevej-101.pdf,760.78,"82.44,81.25,80.06,82.09,84.65,84.56,90.03,87.93,84.08,83.36,82.26,83.35,84.50,83.94,85.89,91.81,86.93,82.34,86.61,78.56,85.63,84.62,84.04,84.69,83.61,86.75,86.15,84.98,85.83,83.82,89.15,80.49",84.58
Øreflippen-9.pdf,95.19,"88.22,83.53,84.87,88.90,83.04",85.71
